,secid,date,exdate,cp_flag,strike_price,spindx,best_bid,best_offer,open_interest,volume,impl_volatility,delta,gamma,theta,vega,optionid,weekday,TTM,dividend_yield,risk_free_rate,keep
297,108105.0,1996-07-17,1996-08-16,P,550.0,634.07,0.5,0.75,5228.0,1882.0,0.28179,-0.031001,0.001388,-21.4303,12.49269,11673272.0,Friday,30,0.02012162,0.05520415,True
55,108105.0,1996-07-17,1996-08-16,P,580.0,634.07,1.625,2.0,6039.0,250.0,0.246211,-0.086913,0.003594,-41.76641,28.26705,10401855.0,Friday,30,0.02012162,0.05520415,True
306,108105.0,1996-07-17,1996-08-16,P,600.0,634.07,3.5,3.75,5222.0,3380.0,0.220878,-0.167519,0.006346,-58.31733,44.77674,11787866.0,Friday,30,0.02012162,0.05520415,True
85,108105.0,1996-07-17,1996-08-16,P,610.0,634.07,5.0,5.125,2893.0,1380.0,0.206816,-0.229048,0.00819,-65.05079,54.1061,10516861.0,Friday,30,0.02012162,0.05520415,True
247,108105.0,1996-07-17,1996-08-16,P,620.0,634.07,7.0,7.25,1148.0,5063.0,0.193168,-0.311394,0.010229,-69.41688,63.11948,11453752.0,Friday,30,0.02012162,0.05520415,True
92,108105.0,1996-07-17,1996-08-16,P,625.0,634.07,8.375,8.875,2195.0,1377.0,0.188906,-0.362777,0.011098,-71.07671,66.9701,10506365.0,Friday,30,0.02012162,0.05520415,True
2,108105.0,1996-07-17,1996-08-16,P,630.0,634.07,10.0,10.375,4476.0,4190.0,0.181866,-0.417895,0.011998,-69.92239,69.69942,10121094.0,Friday,30,0.02012162,0.05520415,True
195,108105.0,1996-07-17,1996-08-16,C,635.0,634.07,12.5,13.25,4599.0,293.0,0.17507,0.519666,0.012713,-89.16417,71.09381,11156810.0,Friday,30,0.02012162,0.05520415,True
269,108105.0,1996-07-17,1996-08-16,C,640.0,634.07,9.625,10.125,5398.0,3642.0,0.165676,0.45296,0.013361,-83.24163,70.70751,11544739.0,Friday,30,0.02012162,0.05520415,True
273,108105.0,1996-07-17,1996-08-16,C,645.0,634.07,7.5,8.0,852.0,77.0,0.16392,0.386618,0.013049,-78.64555,68.32475,11557932.0,Friday,30,0.02012162,0.05520415,True
212,108105.0,1996-07-17,1996-08-16,C,650.0,634.07,5.5,6.0,6973.0,1312.0,0.159018,0.319009,0.012555,-70.59013,63.7724,11256395.0,Friday,30,0.02012162,0.05520415,True
136,108105.0,1996-07-17,1996-08-16,C,655.0,634.07,4.0,4.25,1581.0,37.0,0.154549,0.254288,0.011599,-61.11711,57.26332,10854405.0,Friday,30,0.02012162,0.05520415,True
316,108105.0,1996-07-17,1996-08-16,C,660.0,634.07,3.0,3.25,5866.0,140.0,0.155927,0.203907,0.010156,-53.99805,50.58692,11757079.0,Friday,30,0.02012162,0.05520415,True
201,108105.0,1996-07-17,1996-08-16,C,665.0,634.07,2.0,2.375,5940.0,151.0,0.153768,0.155296,0.008677,-44.5718,42.61894,11240136.0,Friday,30,0.02012162,0.05520415,True
209,108105.0,1996-07-17,1996-08-16,C,670.0,634.07,1.25,1.625,2185.0,245.0,0.15035,0.112253,0.007097,-34.66333,34.08287,11255930.0,Friday,30,0.02012162,0.05520415,True
113,108105.0,1996-07-17,1996-08-16,C,675.0,634.07,0.8125,1.0,3224.0,1421.0,0.147172,0.077675,0.005525,-25.73208,25.97355,10626066.0,Friday,30,0.02012162,0.05520415,True
101,108105.0,1996-07-17,1996-08-16,C,680.0,634.07,0.5,0.75,4283.0,10.0,0.148228,0.05625,0.004273,-20.08722,20.23094,10620204.0,Friday,30,0.02012162,0.05520415,True
