Row,Mean,Variance,Skewness,Kurtosis
RND,1.00230600367813,0.00291711927503735,-1.41790616780023,4.62105592522433
alpha = 0.01,1.0175440524467,0.00203263482996144,-0.912045180970513,2.81056008307881
alpha = 0.02,1.02914277697016,0.00167463581319345,-0.533828930059355,1.62932513075914
alpha = 0.03,1.0391866209974,0.00151444795908883,-0.279143492301408,0.938429377783026
alpha = 0.04,1.0485363051629,0.00144503882741029,-0.119213730803184,0.522972059525119
gamma = 1,1.00521631711144,0.00268576558321845,-1.30879586175115,4.14534563168012
gamma = 2,1.00788814559005,0.00249740340489321,-1.20933546642942,3.74663484187408
gamma = 3,1.01036600329263,0.0023415133948497,-1.11737442448085,3.39971903608976
gamma = 4,1.01268349357558,0.00221083862301878,-1.03180143901629,3.09219188439483
